Dates, OIL_PROD, WATER_PROD, WATER_INJ_TOP, Xflow, P_wf
551.0, 804.8046875, -0.0, 109.7502670288086, 0.00016287552716676146, 180.0
552.0, 803.0028686523438, -0.0, 369.1600036621094, 0.0005364625249058008, 180.0
553.0, 801.1450805664062, -0.0, 89.7956771850586, 0.0001332800165982917, 180.0
554.0, 799.2377319335938, -0.0, 149.65945434570312, 0.00021624015062116086, 180.0
555.0, 797.2860717773438, -0.0, 229.47784423828125, 0.00033130208612419665, 180.0
556.0, 795.30126953125, -0.0, 1000.0, 646.2564697265625, 180.0
557.0, 793.3136596679688, -0.0, 1000.0, 416.7782897949219, 180.0
558.0, 791.3781127929688, -0.0, 1000.0, 726.074951171875, 180.0
559.0, 789.5714111328125, -0.0, 1000.0, 726.074951171875, 180.0
560.0, 787.9723510742188, -0.0, 1000.0, 726.074951171875, 180.0
561.0, 786.63818359375, -0.0, 1000.0, 97.50431060791016, 180.0
562.0, 785.596923828125, -0.0, 1000.0, 67.57237243652344, 180.0
563.0, 784.8483276367188, -0.0, 1000.0, 726.074951171875, 180.0
564.0, 784.26611328125, -0.0, 99.77294921875, 0.0001672090875217691, 180.0
565.0, 783.7348022460938, -0.0, 967.7977905273438, 0.0014645635383203626, 180.0
566.0, 783.2013549804688, -0.0, 1000.0, 606.3472290039062, 180.0
567.0, 782.6499633789062, -0.0, 588.660400390625, 0.0009709004079923034, 180.0
568.0, 782.0614624023438, -0.0, 149.65943908691406, 0.00023815706663299352, 180.0
569.0, 781.4063110351562, -0.0, 219.5005340576172, 0.0003286859719082713, 180.0
570.0, 780.6553344726562, -0.0, 49.8864860534668, 7.403861673083156e-05, 180.0
571.0, 779.7877807617188, -0.0, 0.0, -0.0, 180.0
572.0, 778.7924194335938, -0.0, 0.0, -0.0, 180.0
573.0, 777.6663208007812, -0.0, 0.0, -0.0, 180.0
574.0, 776.4110107421875, -0.0, 159.6367645263672, 0.00022600246302317828, 180.0
575.0, 775.039306640625, -0.0, 1000.0, 177.3227996826172, 180.0
576.0, 773.5679931640625, -0.0, 209.52322387695312, 0.0003307152073830366, 180.0
577.0, 772.01611328125, -0.0, 468.9330139160156, 0.000658544129692018, 180.0
578.0, 770.3992309570312, -0.0, 79.81837463378906, 0.00011798583000199869, 180.0
579.0, 768.7293701171875, -0.0, 269.38702392578125, 0.000383927661459893, 180.0
580.0, 767.0150756835938, -0.0, 219.50054931640625, 0.0003160700434818864, 180.0
581.0, 765.2627563476562, -0.0, 339.2281188964844, 0.0004856352461501956, 180.0
582.0, 763.4771728515625, -0.0, 39.9091911315918, 5.767233233200386e-05, 180.0
583.0, 761.6658935546875, -0.0, 987.7525024414062, 0.0013858723687008023, 180.0
584.0, 759.8463134765625, -0.0, 878.0020751953125, 0.001351227518171072, 180.0
585.0, 758.0460815429688, -0.0, 738.3199462890625, 0.0011486363364383578, 180.0
586.0, 756.2831420898438, -0.0, 299.31890869140625, 0.0004569542361423373, 180.0
587.0, 754.561279296875, -0.0, 149.6594696044922, 0.00021073028619866818, 180.0
588.0, 752.8701171875, -0.0, 339.2281188964844, 0.000477839435916394, 180.0
589.0, 751.1944580078125, -0.0, 199.54595947265625, 0.0002852830511983484, 180.0
590.0, 749.5223999023438, -0.0, 937.865966796875, 0.0013225015718489885, 180.0
591.0, 747.8585815429688, -0.0, 1000.0, 726.074951171875, 180.0
592.0, 746.2387084960938, -0.0, 1000.0, 726.074951171875, 180.0
593.0, 744.6926879882812, -0.0, 339.2280578613281, 0.0005519126425497234, 180.0
594.0, 743.2199096679688, -0.0, 59.86378479003906, 8.628172508906573e-05, 180.0
595.0, 741.7980346679688, -0.0, 229.47784423828125, 0.00032263968023471534, 180.0
596.0, 740.4032592773438, -0.0, 1000.0, 376.8690490722656, 180.0
597.0, 739.0202026367188, -0.0, 488.88751220703125, 0.0007608446176163852, 180.0
598.0, 737.647216796875, -0.0, 1000.0, 227.20936584472656, 180.0
599.0, 736.3048706054688, -0.0, 1000.0, 726.074951171875, 180.0
600.0, 735.017578125, -0.0, 419.0464172363281, 0.0006678721401840448, 180.0
601.0, 733.7899169921875, -0.0, 49.8864860534668, 7.450432167388499e-05, 180.0
602.0, 732.6064453125, -0.0, 79.8183822631836, 0.0001127461509895511, 180.0
603.0, 731.4421997070312, -0.0, 79.8183822631836, 0.00011136131070088595, 180.0
604.0, 730.2711181640625, -0.0, 329.2508239746094, 0.0004573139303829521, 180.0
605.0, 729.0763549804688, -0.0, 1000.0, 117.45893096923828, 180.0
606.0, 727.8632202148438, -0.0, 1000.0, 356.9144287109375, 180.0
607.0, 726.669677734375, -0.0, 1000.0, 227.20936584472656, 180.0
608.0, 725.5610961914062, -0.0, 1000.0, 616.3245239257812, 180.0
609.0, 724.5610961914062, -0.0, 399.0918273925781, 0.0006406892207451165, 180.0
610.0, 723.6422119140625, -0.0, 329.2508239746094, 0.0004754714318551123, 180.0
